{'hallIndex': [2, 3, 0, 1], 'data': [2505, 2479, 2508, 2495], 'ticks': 670608, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.03730583190917969}
{'hallIndex': [2, 3, 0, 1], 'data': [2507, 2479, 2508, 2505], 'ticks': 670611, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.038306474685668945}
{'hallIndex': [2, 3, 0, 1], 'data': [2505, 2479, 2493, 2503], 'ticks': 670615, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.038306474685668945}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2479, 2504, 2522], 'ticks': 670619, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.038306474685668945}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2487, 2510, 2506], 'ticks': 670622, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.0393071174621582}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2488, 2507, 2489], 'ticks': 670626, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.0393071174621582}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2488, 2520, 2478], 'ticks': 670629, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.0393071174621582}
{'hallIndex': [2, 3, 0, 1], 'data': [2503, 2488, 2495, 2488], 'ticks': 670633, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04030585289001465}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2473, 2478, 2505], 'ticks': 670637, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04030585289001465}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2487, 2503, 2494], 'ticks': 670641, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04130697250366211}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2480, 2487, 2506], 'ticks': 670645, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04130697250366211}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2478, 2504, 2504], 'ticks': 670649, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04130697250366211}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2478, 2510, 2510], 'ticks': 670652, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04233741760253906}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2487, 2508, 2522], 'ticks': 670656, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04233741760253906}
{'hallIndex': [2, 3, 0, 1], 'data': [2506, 2479, 2493, 2504], 'ticks': 670660, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.043337345123291016}
{'hallIndex': [2, 3, 0, 1], 'data': [2503, 2479, 2523, 2506], 'ticks': 670663, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.043337345123291016}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2488, 2491, 2492], 'ticks': 670667, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.044219255447387695}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2479, 2506, 2508], 'ticks': 670670, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.044306278228759766}
{'hallIndex': [2, 3, 0, 1], 'data': [2503, 2478, 2475, 2488], 'ticks': 670674, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.044306278228759766}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2479, 2510, 2504], 'ticks': 670678, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04530525207519531}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2488, 2493, 2477], 'ticks': 670682, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04530525207519531}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2479, 2478, 2474], 'ticks': 670687, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04530525207519531}
{'hallIndex': [2, 3, 0, 1], 'data': [2496, 2478, 2504, 2492], 'ticks': 670690, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04530525207519531}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2479, 2505, 2492], 'ticks': 670694, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04680800437927246}
{'hallIndex': [2, 3, 0, 1], 'data': [2503, 2487, 2478, 2491], 'ticks': 670698, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04680800437927246}
{'hallIndex': [2, 3, 0, 1], 'data': [2506, 2478, 2493, 2508], 'ticks': 670701, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04781389236450195}
{'hallIndex': [2, 3, 0, 1], 'data': [2504, 2478, 2507, 2493], 'ticks': 670705, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04781389236450195}
{'hallIndex': [2, 3, 0, 1], 'data': [2506, 2478, 2526, 2505], 'ticks': 670708, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04884457588195801}
{'hallIndex': [2, 3, 0, 1], 'data': [2495, 2487, 2504, 2520], 'ticks': 670712, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04884457588195801}
{'hallIndex': [2, 3, 0, 1], 'data': [2507, 2477, 2519, 2490], 'ticks': 670716, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04984402656555176}
{'hallIndex': [2, 3, 0, 1], 'data': [2506, 2479, 2505, 2507], 'ticks': 670719, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.04984402656555176}
{'hallIndex': [2, 3, 0, 1], 'data': [2506, 2479, 2508, 2523], 'ticks': 670723, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.05084490776062012}
{'hallIndex': [2, 3, 0, 1], 'data': [2506, 2479, 2509, 2492], 'ticks': 670727, 'id': 'OM-SB-V1-C.0', 'time': (2024, 11, 17, 14, 38, 14, 6, 322), 'rec_time': 0.05084490776062012}
