{'hallIndex': [10, 11, 8, 9], 'data': [2492, 2478, 2445, 2505], 'ticks': 63681, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.04363608360290527}
{'hallIndex': [2, 3, 0, 1], 'data': [2448, 2429, 2447, 2460], 'ticks': 63682, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.04363608360290527}
{'hallIndex': [2, 3, 0, 1], 'data': [2455, 2414, 2423, 2430], 'ticks': 63686, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.04363608360290527}
{'hallIndex': [10, 11, 8, 9], 'data': [2494, 2487, 2448, 2507], 'ticks': 63684, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.04572010040283203}
{'hallIndex': [10, 11, 8, 9], 'data': [2494, 2488, 2445, 2508], 'ticks': 63688, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.04672431945800781}
{'hallIndex': [2, 3, 0, 1], 'data': [2457, 2430, 2448, 2431], 'ticks': 63691, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.04772448539733887}
{'hallIndex': [2, 3, 0, 1], 'data': [2447, 2430, 2455, 2460], 'ticks': 63694, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.04872608184814453}
{'hallIndex': [10, 11, 8, 9], 'data': [2494, 2463, 2446, 2506], 'ticks': 63692, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.04972720146179199}
{'hallIndex': [2, 3, 0, 1], 'data': [2456, 2430, 2456, 2461], 'ticks': 63698, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.05123329162597656}
{'hallIndex': [10, 11, 8, 9], 'data': [2495, 2487, 2446, 2507], 'ticks': 63695, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.05223846435546875}
{'hallIndex': [2, 3, 0, 1], 'data': [2443, 2409, 2457, 2459], 'ticks': 63702, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.05223846435546875}
{'hallIndex': [10, 11, 8, 9], 'data': [2493, 2479, 2444, 2507], 'ticks': 63699, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.05423927307128906}
{'hallIndex': [10, 11, 8, 9], 'data': [2492, 2478, 2455, 2509], 'ticks': 63703, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.055238962173461914}
{'hallIndex': [2, 3, 0, 1], 'data': [2456, 2429, 2457, 2439], 'ticks': 63707, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.05574321746826172}
{'hallIndex': [10, 11, 8, 9], 'data': [2492, 2479, 2446, 2506], 'ticks': 63706, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.0567479133605957}
{'hallIndex': [2, 3, 0, 1], 'data': [2455, 2429, 2455, 2459], 'ticks': 63710, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.057752370834350586}
{'hallIndex': [10, 11, 8, 9], 'data': [2494, 2477, 2455, 2508], 'ticks': 63710, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.05875253677368164}
{'hallIndex': [2, 3, 0, 1], 'data': [2447, 2424, 2423, 2459], 'ticks': 63715, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.05875253677368164}
{'hallIndex': [10, 11, 8, 9], 'data': [2494, 2479, 2446, 2506], 'ticks': 63713, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.059752464294433594}
{'hallIndex': [10, 11, 8, 9], 'data': [2495, 2478, 2448, 2508], 'ticks': 63717, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.059752464294433594}
{'hallIndex': [10, 11, 8, 9], 'data': [2494, 2488, 2455, 2509], 'ticks': 63721, 'id': 'OM-SB-V1-C.2', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.0613250732421875}
{'hallIndex': [2, 3, 0, 1], 'data': [2446, 2430, 2457, 2461], 'ticks': 63719, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.06276726722717285}
{'hallIndex': [2, 3, 0, 1], 'data': [2455, 2397, 2424, 2429], 'ticks': 63723, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.06377243995666504}
{'hallIndex': [2, 3, 0, 1], 'data': [2448, 2429, 2456, 2458], 'ticks': 63726, 'id': 'OM-SB-V1-C.0', 'time': (2000, 1, 1, 0, 1, 3, 5, 1), 'rec_time': 0.06377243995666504}
